codigo_ibge,anomes_s,pab_qtd_fam_benef_i,pab_valor_pago_d,pab_valor_medio_d,pab_extraordinario_qtd_fam_i,pab_extraordinario_valor_pago_d,pab_extraordinario_valor_medio_d
210230,202302,5365,3252328.0,606.21,,,
210232,202302,8472,4992403.0,589.28,,,
210235,202302,2910,1794320.0,616.6,,,
210237,202302,3662,2148337.0,586.66,,,
210240,202302,2214,1059125.0,478.38,,,
210250,202302,5607,2530535.0,451.32,,,
210255,202302,1851,1124135.0,607.31,,,
210260,202302,4508,2447972.0,543.03,,,
210270,202302,4441,2477929.0,557.97,,,
210275,202302,2664,1619842.0,608.05,,,
210280,202302,4615,2762419.0,598.57,,,
210290,202302,7776,4436459.0,570.53,,,
210300,202302,19358,1.1588627E7,598.65,,,
210310,202302,2758,944761.0,342.55,,,
210312,202302,2753,1616824.0,587.3,,,
210315,202302,3482,1954727.0,561.38,,,
210317,202302,4210,2495312.0,592.71,,,
210320,202302,23932,1.4458117E7,604.13,,,
210325,202302,2715,1637444.0,603.11,,,
210330,202302,17771,1.0543092E7,593.28,,,
210340,202302,10495,6198788.0,590.64,,,
210350,202302,8758,5369466.0,613.09,,,
210355,202302,3131,1158216.0,369.92,,,
210360,202302,10235,6014934.0,587.68,,,
210370,202302,9527,5579117.0,585.61,,,
210375,202302,1645,988490.0,600.91,,,
210380,202302,4673,2787080.0,596.42,,,
210390,202302,3101,1845515.0,595.14,,,
210400,202302,4051,2355686.0,581.51,,,
210405,202302,4751,2830618.0,595.79,,,
210407,202302,1576,963149.0,611.14,,,
210408,202302,2498,1559434.0,624.27,,,
210409,202302,3330,2082175.0,625.28,,,
210410,202302,2771,1704424.0,615.09,,,
210420,202302,3120,1909264.0,611.94,,,
210430,202302,1864,1069539.0,573.79,,,
210440,202302,3649,2213493.0,606.6,,,
210450,202302,1742,1048333.0,601.8,,,
210455,202302,2971,1786946.0,601.46,,,
210460,202302,2858,1769348.0,619.09,,,
210462,202302,1279,783092.0,612.27,,,
210465,202302,2272,1243927.0,547.5,,,
210467,202302,5134,2578237.0,502.19,,,
210470,202302,1193,713120.0,597.75,,,
210480,202302,11867,7081443.0,596.73,,,
210490,202302,2578,1257706.0,487.86,,,
210500,202302,5837,3488670.0,597.68,,,
210510,202302,6236,3768277.0,604.28,,,
210515,202302,3117,1711284.0,549.02,,,
210520,202302,2236,1355435.0,606.19,,,
210530,202302,26982,1.6210569E7,600.79,,,
210535,202302,3419,2114905.0,618.57,,,
210540,202302,10621,6024257.0,567.2,,,
210542,202302,4514,2651389.0,587.37,,,
210545,202302,1954,1191250.0,609.65,,,
210547,202302,3029,1874960.0,619.0,,,
210550,202302,3615,2212596.0,612.06,,,
210560,202302,3118,1665998.0,534.32,,,
210565,202302,1129,636703.0,563.95,,,
210570,202302,9669,5634019.0,582.69,,,
210580,202302,2022,1122808.0,555.3,,,
210590,202302,3422,1921643.0,561.56,,,
210592,202302,2640,1611510.0,610.42,,,
210594,202302,1584,863376.0,545.06,,,
210596,202302,2477,1149627.0,464.12,,,
210598,202302,1788,1089961.0,609.6,,,
210600,202302,2055,1237752.0,602.31,,,
210610,202302,2579,1578876.0,612.2,,,
210620,202302,2391,1350702.0,564.91,,,
210630,202302,2608,1393180.0,534.19,,,
210632,202302,5274,2937156.0,556.91,,,
210635,202302,1453,823323.0,566.64,,,
210637,202302,2036,983531.0,483.07,,,
210640,202302,4536,2835267.0,625.06,,,
210650,202302,6278,2525520.0,402.28,,,
210660,202302,7118,4414029.0,620.12,,,
210663,202302,2426,1344583.0,554.24,,,
210667,202302,1727,1063652.0,615.9,,,
210670,202302,5128,3189307.0,621.94,,,
210675,202302,4268,2242644.0,525.46,,,
210680,202302,4336,2467112.0,568.98,,,
210690,202302,7523,3983502.0,529.51,,,
210700,202302,1983,1211606.0,611.0,,,
210710,202302,4748,2751525.0,579.51,,,
210720,202302,2667,1539625.0,577.29,,,
210725,202302,923,565406.0,612.57,,,
210730,202302,1209,677105.0,560.05,,,
210735,202302,3600,1331656.0,369.9,,,
210740,202302,4254,2295960.0,539.72,,,
210745,202302,3685,1744507.0,473.41,,,
210750,202302,17727,1.0500486E7,592.34,,,
210760,202302,5517,3106436.0,563.07,,,
210770,202302,5508,3391342.0,615.71,,,
210780,202302,5981,3651604.0,610.53,,,
210790,202302,3778,2363421.0,625.57,,,
210800,202302,4164,2558161.0,614.35,,,
210805,202302,3801,2319951.0,610.35,,,
210810,202302,4233,2437195.0,575.76,,,
210820,202302,4658,2765227.0,593.65,,,
210825,202302,7600,4196699.0,552.2,,,
210830,202302,7647,4343879.0,568.05,,,
210840,202302,4333,2306575.0,532.33,,,
210845,202302,5574,3352299.0,601.42,,,
210850,202302,5461,2799325.0,512.6,,,
210860,202302,16833,8585259.0,510.03,,,
210870,202302,5904,2473522.0,418.96,,,
210880,202302,3434,2046864.0,596.06,,,
210890,202302,4563,2732678.0,598.88,,,
210900,202302,2325,1381627.0,594.25,,,
210905,202302,2062,1105405.0,536.08,,,
210910,202302,5110,3054499.0,597.75,,,
210920,202302,2878,1668936.0,579.89,,,
210923,202302,1516,775575.0,511.59,,,
210927,202302,3581,1944365.0,542.97,,,
210930,202302,2496,1431790.0,573.63,,,
210940,202302,3317,1915582.0,577.5,,,
210945,202302,6549,3472719.0,530.27,,,
210950,202302,3532,2135428.0,604.59,,,
